"response","KCNA5","SCRN3","SLC6A8","GPR64","TBKBP1","PROM1","GRAMD3","RAD23B","TNRC6B","ATXN1","NADSYN1","FCGR2C","ATM","ERLIN2","MRC2","AGL","AGBL5","PRPSAP2","COL4A4","HMBOX1","FMO1","PABPC3","GOLPH3L","EDG5","SEMA3B","ARTS.1","TTLL5","AZI2","AURKB","ASCL2","ISG20L1","MAL","RPP21","NEK11","RHOBTB1","DAPP1","HMP19","DDO","OR2F2","SIVA1","DNAJB5","ADAMTSL3","HBXIP","ARHGEF12","HOXC10","OR51E2","TIMM22","SEMA3A","CEL","AMBP","SDF2L1","TAF4","RPGRIP1","CANT1","PCDH7","OCLN","TRIM36","MGLL","ALMS1","HABP2","IGFBP7","NPC2","RRP1","EVL","MRPL49","DHRS12","ZC3H13","TTLL12","RRH","KIAA1199","PHLDB1","HNRPA3","APEH","SLC19A1","GPC4","HRH4","FPGS","CIDEA","ULBP1","GUCY1B3","ITGB2","TTK","TSPAN2","TOMM40","CADM3","PTPLA","RABL5","ZNF492","FBLN1","ENTPD4","HPGD","P18SRP","MATK","C16orf57","X41519","PLVAP","ZBED2","BCL7C","POLR1E","PRKCQ","CINP","LITAF","KLF10","CCRK","DKFZP564O0823","ZNF197","PRAMEF10","TNFRSF17","LOC374395","PDCD1LG2","C5orf13","TNKS","KREMEN2","H2AFY","TMEM47","RFK","PSME2","ORM1","TAF9B","PALM","COX7C","NDUFB8","ENO1","KLHDC3","ATG12","GSTK1","PYY","PTX3","G0S2","MYO7B","AAK1","HSPA14","FAM128A","CLCN3","C11orf10","DUS4L","SCARF1","ATP7A","NOL1","TGFBR3","C5orf5","NAP1L4","SDCCAG3","NPBWR2","PPM1H","FAM49B","SFRS16","TLK2","BRWD2","PGRMC2","PFN1","GGA3","LMO3","OPLAH","CKB","S100A4","C6orf130","HNRNPU","NCAN","USP6","SLC6A3","EIF4E","KIAA0586","FNDC4","SCNN1B","PHF20L1","PPP1R13B","DYNC1LI1","CHIC2","RABL4","IKBKB","SFRS12","SPINK1","PVRL3","TMEM38B","YARS","FADS2","GPR143","F2R","HEPH","MAD2L1","GM2A","KIAA1704","FLAD1","GTF3C4","ECT2","C1orf54","SH2D3A","SLC24A3","THRB","PMM2","NPAS3","PDIA3","FLG","HOXA9","KBTBD10","IDH2","SYNJ2","ELAVL2","RBM12B"
1224,3.523293698,3.30243519,5.479079723,8.316388851,4.151742637,3.532192648,5.050745436,8.633912276,5.52402166,6.083893492,4.44338206,3.384280622,4.62799201,5.57518352,6.784410797,7.749950219,6.571084496,6.358426921,2.92680315,7.311068932,3.799558707,7.983899423,7.661485203,3.534104196,4.752861016,3.472843642,5.005097664,6.055099527,5.205157412,3.306481594,4.837644967,8.468040909,7.657793923,5.706818271,6.128065613,6.004072471,3.32387445,3.407916036,3.210594061,7.111621404,4.247408503,3.910690119,8.899418606,5.465420926,3.347097538,3.117702068,4.871425977,3.589919915,4.83381063,3.398049129,4.874745108,5.227240761,3.366818173,7.032507375,3.487719106,4.030464242,3.719032692,4.873685071,6.898715038,3.552164363,10.16559402,10.52896435,5.042927623,6.663108204,6.874733009,3.60479413,4.585949916,5.405795235,3.033289736,7.686463552,4.862630926,7.849922934,5.858602656,3.775233096,5.58531422,2.987999844,5.335989714,3.547589198,3.319099718,6.933405393,5.57295483,7.659611294,3.396128892,5.921114254,3.506518607,5.763374991,6.208926277,5.210605654,5.264415825,5.560384733,3.490626163,3.861099309,3.671280711,5.079176151,8.787047753,5.768071525,6.12971175,6.219955631,5.561533033,4.929475505,6.503288575,7.461663165,7.088127472,4.923825079,3.805524456,3.839549334,3.154123233,3.57700428,3.976270955,3.045556879,7.616987146,4.910028181,3.534050986,7.50160385,7.600369159,6.727655123,8.951885766,3.101355226,3.766321646,5.070592024,10.31182812,7.866937226,7.051438978,6.430064929,5.840631478,7.678991526,3.359291387,6.887045796,5.700833796,3.572759083,3.939208026,8.440363047,8.937767657,5.515567389,9.464688451,4.679908821,4.151981028,4.795780472,6.869585748,6.014712482,6.476381084,6.524862097,5.737827039,2.91647741,5.143440826,6.658671737,6.439821375,6.595233575,7.902301871,7.772650041,8.439445266,5.260085819,7.554577376,3.99226891,7.798084623,7.380168135,6.145156306,6.041000844,3.565196466,5.002156082,3.30131477,6.029542691,4.767673575,4.734247567,3.507028188,5.010519569,6.270765543,6.486650186,5.83421178,5.324363926,5.178406513,6.838628431,3.407445031,7.218086041,4.404444257,8.045512053,5.023191401,4.372523159,5.063031623,4.618345619,8.254939503,4.699951522,3.887989847,5.294887413,5.382195098,7.741054529,7.715859168,3.99159407,5.203523505,3.803858458,5.62506612,5.174925225,9.130170214,3.322496076,3.551824999,3.167990008,7.91901105,4.774280252,3.094680814,4.351425223
1247,3.805797983,3.265558822,5.317991343,6.654941567,4.300608673,7.638339459,6.187313407,8.150587894,5.663524662,7.03213975,4.930452032,3.418965905,4.991706594,6.90667778,7.505629255,7.499547271,5.921296254,7.28138193,3.307447092,6.986077252,7.574660159,8.600375738,8.301949377,3.346945423,4.082197617,4.406310901,4.57322927,5.877495244,5.563340482,3.05375672,5.002031919,5.638304322,7.437431178,5.347880172,6.143479908,5.659562082,3.12910784,3.148945564,3.114569551,5.928214827,3.492098774,3.683662984,8.784992313,6.174083429,3.473620912,3.200260307,5.481103444,3.505362003,2.979792895,3.129103751,5.944378208,5.008727637,3.253533452,6.375736278,3.554080689,5.127978425,3.689409076,5.006187033,6.100670519,3.448396517,11.92822938,10.6277131,4.875348994,6.182921375,7.685704499,3.902800789,5.038222248,6.139983445,3.23811824,7.130747448,5.009106914,7.161299985,6.931490211,3.745259887,5.312467818,3.075202961,4.876187452,3.228426939,3.260236173,7.101747783,6.307940783,7.541047209,3.507111205,5.854900524,3.661840279,3.851814414,5.027750964,4.873620212,5.543265867,5.248457919,8.93477572,4.29355893,3.134809043,5.162268692,9.103186942,4.038752746,7.132646572,5.123893108,5.517410846,5.07997706,5.610486795,7.389820762,8.36271813,3.828965553,5.451016749,4.001627585,3.356868073,3.652860068,4.024513407,2.843198416,7.522191666,4.408998779,4.427636124,7.692152007,8.682467871,6.700076868,9.136732241,2.877520145,3.632127249,5.562075273,10.85709866,8.709417373,8.003810913,7.095121402,6.009204154,8.008470683,3.048816606,6.258257916,6.130129356,3.676283274,3.874520649,7.268248572,7.782735519,4.876508328,10.36596448,4.309490648,3.862526693,5.080029288,7.042655318,8.611910932,7.24158652,6.31343361,5.366503383,2.810933223,5.21820979,6.725427838,5.914130799,5.292534944,7.391020779,6.501459409,9.381392708,4.401858392,4.202707501,4.538967657,7.211643412,8.676597712,5.942322722,5.61182788,3.702010414,4.486488528,3.332883651,5.888748079,4.143014752,5.09592236,2.839326541,4.42815606,5.737089588,6.808320257,6.160356174,5.683942846,5.226870477,7.167308341,3.061780877,7.731269719,4.227431008,7.858686023,4.621225899,4.948213929,5.995186612,7.15204062,6.357421124,4.734029823,4.318418686,5.676180168,4.887725798,7.247936927,5.704981476,3.584898407,5.92169986,4.245054173,5.950824798,4.314551852,10.34180804,2.808864631,3.501835363,2.804435242,8.718933223,4.818983099,3.180927285,4.21281369
55,3.632915901,3.315488058,6.561132223,4.028709908,4.379298772,5.039829888,6.166679366,7.754663678,5.511157616,5.736133096,5.127243257,3.854180705,4.336474824,6.297456196,6.287282748,6.234216778,5.526254097,5.027270915,3.205229318,6.483678154,3.944181757,8.852824838,7.434832191,4.053838569,4.433485858,3.498292776,4.529215584,4.872909017,4.874010539,3.349815063,5.39548746,4.908782998,8.13754655,5.318399239,5.690910109,6.252572611,3.414616467,3.580946625,3.212720495,5.932218177,5.80938083,3.245206537,7.736912519,5.081281389,3.719261381,3.133799927,4.428526816,3.796327121,4.274825434,3.354989824,5.824784076,4.434627973,3.766539928,6.182185946,4.263756323,4.015962847,3.576964274,6.901938545,6.536153643,3.770799472,8.428622525,9.91554918,4.7827898,6.443654467,6.801971267,3.807509207,4.531459042,6.992779241,3.346209769,4.089418314,4.754379669,7.457993878,5.012087755,3.782519174,5.348331717,3.292190036,5.522829932,3.615649616,3.578528637,5.934234819,5.30279411,7.082264711,3.562982899,5.004142955,3.742784845,3.893823934,4.168226648,5.266244671,3.915458549,5.620953618,3.564995711,3.687538755,3.476980381,4.871543762,8.477440467,4.925391178,5.471159814,5.381119776,5.14500311,4.108130069,6.437731757,6.161296756,6.922221067,3.865355236,5.218962847,3.909790654,3.321044108,3.670783734,4.333938078,2.897334018,6.411807707,4.340219977,3.670493419,7.845599063,5.654515958,7.15062136,8.428425222,3.449600692,4.132955113,4.563079753,10.48573892,8.542429709,6.546169471,6.03596931,5.772790366,8.036443958,3.135713356,6.200366286,5.33874155,3.465167922,4.132567191,6.220126319,8.116676946,5.180403025,10.33661034,4.47376891,3.9082702,5.680607838,5.627923234,5.406297794,5.054310191,7.257636016,5.348868333,2.842739057,4.712951995,6.479778167,5.838147124,5.198289307,6.379701332,5.851482755,8.419221097,4.839914879,3.564600629,4.769479426,6.209089497,6.431665543,6.241371215,5.689671299,3.864585172,4.9391952,3.472792214,5.791721126,4.383239424,4.530159952,4.166288301,5.530024059,6.286512218,5.800512484,5.49698625,5.589382442,4.84390735,5.834510785,2.99388831,5.465427154,3.839384693,7.788631918,4.865429718,3.780327599,3.959830586,3.959679911,5.676962642,4.954708484,3.914517984,5.046366506,4.586234955,5.970017921,4.705071995,4.742447912,5.562808964,3.820435702,5.392826271,4.074263166,10.11562824,2.708309309,4.011703118,2.841885341,7.635949779,4.028039591,3.122997619,4.372857755
1495,3.333364756,3.208152777,4.125645533,5.158715998,4.318292207,4.887403409,7.107342247,7.3373441,5.449169809,5.16990788,6.002853464,3.580772198,5.114586231,5.999231033,6.64674195,6.854209436,5.602932037,6.059650434,3.032191721,6.967113744,3.06903291,9.132098189,8.041179531,3.537097157,4.128131394,4.130459174,4.724205419,4.345514482,5.433376844,3.51730583,5.151178545,9.588519643,7.807033819,6.086160851,4.26574251,5.92702948,3.470593964,3.310930438,3.237303338,6.564099238,3.794796892,3.232316106,8.702998243,6.419882919,3.504986119,3.275808935,4.344578469,3.089346379,4.009568101,3.17117695,5.460481019,4.667472815,3.685838787,7.332388862,3.893432635,4.261260232,2.93799739,6.296691642,5.76571819,3.606012498,9.121389176,10.21942705,5.231422917,6.076998218,7.657011124,3.762267061,4.59668228,5.607510364,3.282381336,5.421477399,4.744115876,6.924379592,5.040701088,3.925930968,5.649574808,3.051770193,4.248402035,3.575981993,3.520772005,5.884657303,7.576006106,7.894404807,3.300782647,6.01434966,3.6068745,3.290135733,4.481869751,4.323223437,4.231959863,5.54408149,4.000299047,3.77708351,3.70028646,5.147919283,8.460767212,4.272232236,5.29823601,5.951984006,5.261628824,5.930378757,7.136957329,7.97302631,6.188829374,3.711887698,3.650665906,3.627515962,3.649607916,3.76328056,4.250754815,3.010693536,7.293910525,4.701395308,3.70930325,8.622714874,5.740543038,5.519151628,9.859312594,3.092073019,3.370046936,4.480273732,10.27459172,8.839410933,7.887964197,6.708086351,5.987773948,7.775876381,3.285454995,6.886082703,6.302157503,3.791982483,4.288307369,7.09251505,8.668779509,5.084820064,10.36827132,4.348357384,3.623590622,5.844972251,6.030758556,7.406513976,6.362887849,7.583996896,5.383637459,2.982602059,3.705981086,7.46149481,6.513764215,5.76588751,6.357197593,5.868925769,9.310831585,4.800921716,3.243008616,5.469859268,6.627405191,8.740152144,6.240279066,5.835192092,3.898658491,4.163613901,3.539089573,5.230929002,4.54015808,4.230600119,3.338107961,5.013240026,7.152599733,5.240070556,6.235458009,4.531089421,5.181250699,7.11440084,3.214851208,6.004547442,3.223245645,8.246872784,5.218499235,4.608889627,4.813751644,3.234571879,5.187915486,4.641299557,3.884868641,5.556468517,4.859549573,6.923033999,6.066622187,4.052151926,4.692505575,3.950955672,5.97226781,4.146818176,10.36224565,2.903504391,3.723940757,2.925959844,9.69832951,5.082245704,3.340567175,4.167868305
61,3.520742756,3.432365525,4.832965226,8.434905854,4.340223781,3.441773128,6.993176299,8.685552662,5.292147197,6.416615866,5.090839459,3.550738567,4.92211597,5.414837341,7.5626477,6.984189132,5.790964204,6.020288214,2.958908786,7.177702534,5.542990035,8.181695654,7.639900068,3.535875498,4.593586598,4.528565234,4.485222743,6.076749717,4.212123337,3.090206773,5.418051398,9.758806843,7.310220294,5.761227989,5.975273528,5.949066423,3.578379833,3.207184014,3.143781626,6.134481314,4.010813713,3.833391802,8.934401853,5.818181144,3.82810907,3.227740787,5.267788534,6.549470596,4.072825918,3.039663917,6.546453764,5.000068275,3.186810198,6.279998453,3.959172508,4.628910049,3.693346892,6.25910907,5.827225131,3.396549256,11.34765854,9.29348919,4.697554618,5.865627469,7.122655191,4.230457932,5.117134495,5.137357362,3.126502515,6.72372718,4.809339219,7.2356333,7.815978742,3.572995872,4.561793809,3.041984267,5.223601837,3.443920501,3.400251321,8.423990168,7.386862381,6.182609853,4.558314202,5.476427069,3.355524642,6.344605151,6.605875881,4.373086708,5.947674389,5.640967403,4.831017628,4.593201094,3.403298142,4.83744315,8.797699518,5.770103497,9.494370742,5.624939661,4.683695319,3.489546778,5.699742411,7.997525801,8.329191251,4.585342876,4.24388261,3.649024233,3.260393834,3.658335714,4.431751482,3.00806319,7.493147659,4.720762683,3.68133558,8.112793752,7.035659111,7.766687824,8.559110391,3.193860999,3.771049026,5.225640071,11.28000114,8.515165394,7.995946441,5.452923145,6.33042374,8.695579938,3.142490708,6.244857092,3.836091299,3.647398148,3.952579256,7.098847166,7.397671761,5.859390801,10.1447771,4.861116068,3.993362995,4.483888458,6.366804569,7.142156617,8.247324615,6.478096245,6.30944041,2.807980312,5.247811792,6.446388332,6.136653085,5.905069733,7.468823132,6.990348714,9.050164516,4.898810324,6.17885584,3.991961709,8.044251857,10.5475932,6.047891568,5.398044822,3.599919878,4.450440675,3.712787364,6.447529614,4.081909063,4.494527614,2.963480862,4.326135529,5.50791172,6.725802463,6.303976212,5.205931178,4.848865883,7.643268963,3.24409725,5.824343777,3.800559485,8.262222333,5.201894773,4.567317506,6.114945508,7.447147437,7.517526547,4.882107903,4.521979806,5.54617642,5.749832507,6.331540376,6.854062349,4.460142764,4.87997991,3.95577192,5.5257871,4.079375403,9.892316014,9.526716286,8.938362429,3.141350832,7.63343086,4.798588676,2.985628296,3.939660004
1418,3.283851955,3.161779577,5.089145267,4.657624293,4.24781773,3.261591524,5.093241363,8.213837109,5.727855139,5.421548281,4.625373526,3.336787927,5.126937745,6.290552002,7.737154281,7.78503074,5.134472697,6.699522892,2.824069372,6.821709472,4.70361763,9.487081923,7.973570992,3.656468181,4.719270991,3.550468152,4.605016222,5.392241028,5.303600307,3.21319294,5.212018961,10.65053269,6.754798425,5.505789994,5.254935468,6.382468091,3.233108808,3.287847485,3.43952009,6.142217083,4.144260695,3.288156391,9.544016733,5.350873375,3.917113263,3.20080329,6.548728913,3.663689909,4.260340852,3.21873601,6.311689564,5.222073629,3.24077081,6.927471816,3.670916934,4.89328792,3.524101193,5.035529744,5.925249271,3.212106857,10.45852314,10.70249918,5.215247996,5.989861597,7.566087726,3.584382459,5.001108003,6.747757833,3.068039377,5.987890846,5.053302154,7.411153422,6.253522632,3.876864535,4.527770732,3.044100406,4.995904617,3.470052227,3.272399699,7.555529751,8.041801503,8.013624594,3.279048137,5.876527907,3.698631762,4.683795641,4.638407078,5.069028484,5.282980365,5.797176844,3.287247233,3.849013501,3.410081874,5.117111661,8.694419317,6.134175451,8.578821248,5.966208296,5.419346232,3.846791722,6.623504779,7.301574898,8.596708665,3.809757042,4.00153327,3.390007403,3.343479609,3.453892664,4.077780619,2.744515141,6.741609966,4.209774463,3.935128442,7.295376871,6.398120388,6.721578196,9.048451951,2.994934225,3.366230154,5.712236988,10.58127162,9.012857402,6.853099636,7.073468558,5.299525122,8.482811895,3.30465379,6.302799129,5.887538955,3.908344423,3.871080366,7.861035682,8.529731745,4.736220442,10.30918572,4.687066683,3.945063703,4.405089642,7.194561647,5.490596786,5.28732263,6.893274031,5.262005927,2.976465358,5.500043754,8.036610635,6.102166671,5.056347311,6.533899186,7.734350947,9.658995048,4.749389084,2.936465053,5.954036347,7.306176866,11.6182942,7.400491342,5.807826176,3.648636808,4.385995333,3.338832526,7.621145059,4.309205016,4.391028779,3.401210126,4.634219686,5.977670877,6.687571858,7.009078374,5.021052144,4.72744251,7.172019376,8.111321482,8.581595052,4.269998832,7.76138617,4.503545899,3.603083878,6.667943115,6.482430581,8.238351964,5.053413199,4.387655163,5.907628144,4.535056646,7.119550995,5.413862896,4.183592527,5.936682775,3.954821437,6.823272281,4.043334567,10.42035361,2.773781614,3.947430317,2.667483643,8.085957187,4.568436992,3.148253906,4.21415916
563,3.426531455,3.795700819,5.112054622,7.04294198,4.228461289,3.177525687,5.929079939,7.775608071,5.233135292,5.858745107,5.222854735,3.376954684,5.004389536,5.954138434,6.394078367,6.336870448,6.019443962,6.70917744,3.139836254,7.250271958,3.941953671,8.119451892,8.362401374,3.591935798,3.872403316,4.058818015,4.602142567,5.049164382,5.705624584,3.158077716,4.635210843,9.719394044,8.041444762,4.977959919,4.236015798,6.461819637,3.405806658,3.363604757,3.167696986,5.870273745,4.499884319,3.277352535,7.644330509,5.567477203,3.763680229,3.221773249,4.850472917,5.042821111,4.400822512,3.150030635,4.983902553,5.150271634,3.476359946,6.969759335,4.180520488,4.552827963,3.692828095,4.627237628,6.027391238,3.479211,10.47008935,10.16038634,5.381675886,5.689175498,7.360002579,3.756131458,4.715653503,5.14311661,3.107119038,5.528038636,4.541909566,7.965422157,6.047623692,3.920769262,4.940175839,2.969606708,4.929269336,3.510284161,3.232550186,7.190912775,6.210436808,8.158221516,2.991841594,5.998859218,3.522403255,3.616678621,5.209846139,4.58829271,4.755671224,6.308723005,3.410294125,3.93084217,3.657084089,5.085204176,9.325581742,5.892914722,6.48968568,5.234993531,5.334371091,4.773784431,6.054116061,6.533050329,6.902631988,4.257866743,4.311040791,3.689082483,3.587281027,3.555439176,4.227880452,2.818306772,7.256645946,5.164229173,3.862564812,7.65643392,6.326027834,6.753388258,9.813258147,3.081030373,3.795931938,4.606590009,10.85416177,8.170201829,7.737773102,6.456812605,5.969919585,8.884286151,3.17311866,7.142871609,4.652859631,3.772282755,4.11961859,7.131480205,8.082916476,5.348239176,9.917027558,4.674518262,3.682939093,4.99542153,7.123473851,6.027846955,6.513779633,6.958711383,5.602367332,2.752453845,4.835388345,6.750620104,6.574030096,6.233219863,7.164008147,6.697180222,9.546431743,5.169023378,3.838410882,4.477771851,6.398003578,5.970984769,6.443310346,5.978654867,3.737122193,4.67772921,3.340629243,5.772843814,4.736126178,4.388155013,3.218057653,4.81098567,5.972457669,6.134942494,5.69074859,4.689865669,5.41439285,6.735099614,3.11233546,6.908861042,3.553537076,7.164717458,4.472213738,3.816277545,4.908720522,4.518005472,7.245758395,4.660292681,4.026871906,5.952867682,4.932511693,6.828034476,5.61854928,3.879361319,5.55848903,3.747310698,5.688374435,4.153270754,9.989015289,3.021958976,3.975099874,3.259894228,7.414085175,4.85684532,3.136247692,4.204409203
361,3.674002673,3.521272981,5.072238774,4.180383902,4.192204606,3.824310948,5.254805316,7.236244752,5.262828786,5.157552794,4.955034277,3.633134814,4.877936184,5.237832705,7.0774519,5.919502405,5.62332917,5.907259463,3.107300418,6.879181805,3.957784086,8.326616421,7.185893367,3.945861993,4.399208678,4.089861804,4.457376871,4.584352865,5.797995206,3.408504545,5.096249312,8.103071497,7.105220844,5.50198511,4.424938327,5.405702933,3.395544595,3.105186308,3.103995758,4.988090973,3.803769891,3.813335857,9.038912963,5.693064061,3.627447608,3.25797749,4.274737865,4.162463246,3.309371572,3.265463678,5.672771154,5.068072024,3.291617441,5.400527173,3.359001367,5.147904692,3.138453837,5.839411702,5.720088496,3.59688652,9.967928681,10.12752241,5.228229481,4.908767883,7.856278098,3.743540757,4.516122489,5.567598474,3.14845579,8.075659166,4.907406818,6.548713158,6.081960572,4.009367685,4.809673939,3.068244273,4.669842455,3.578935236,3.433513111,6.420917797,6.135412921,5.284169768,3.127628677,6.124835518,3.753733968,3.592889492,4.890477486,4.56587873,5.029221837,5.513253635,3.388263819,3.926273098,3.812983093,4.595824065,8.44637773,4.922327155,8.203758719,5.035086351,4.76413032,6.616699707,5.977945163,6.50434694,8.340443573,4.279982164,4.749107514,3.882543891,3.500261049,3.959004425,4.162592474,3.185804464,7.176754333,4.664586929,4.557142647,7.790973448,4.732029098,6.196510579,8.396817065,2.940516311,3.562512155,5.992525827,10.90010782,7.852507412,7.894268702,5.804478078,5.805397513,7.78737762,3.628362322,4.554712967,6.637088605,3.766284436,3.837601757,7.720156357,8.199221666,5.206429104,10.11260813,4.269040905,3.549529938,4.043469244,6.716282555,7.215675332,6.297455496,6.42638109,4.929160325,2.965887658,4.521359616,6.41623469,6.116494044,5.307048877,6.002641985,5.673276722,9.552285637,4.384769656,4.5661285,6.133758388,7.545612971,7.793741115,5.373064664,5.564636561,3.447860248,4.544514775,3.699445898,5.019949521,4.046456103,4.259819394,3.244646194,4.300464842,5.364060361,6.394082032,5.656685841,5.050939854,5.050788771,6.384306712,3.266929337,6.061368061,3.261451928,7.537955955,4.316474619,5.350706147,5.886154355,3.99838194,5.822055244,5.018606517,3.806336622,5.516878958,4.859767559,6.455314928,5.204103779,4.22675276,4.481173674,3.81788976,5.134224657,4.294907741,8.862992277,3.026127436,3.629015144,3.142165188,7.775238824,4.255053646,3.119431627,4.03866133
1992,3.485300144,3.130534272,4.408063153,6.058248266,4.283621673,6.477594497,6.009365805,6.417329754,5.375516627,6.205301667,4.953122828,3.575388518,5.503808394,5.405796273,6.930083182,7.528414643,6.366821507,5.67541816,3.162749959,6.396138432,4.02851011,8.856286648,8.839670712,3.632886067,3.885657092,4.081232457,4.434060848,4.833450484,5.572137443,3.226161236,4.864102433,8.862221613,7.58261693,5.327710929,4.665843013,6.657950127,3.212560505,3.293304229,3.072294064,5.442726252,3.836212776,3.331873955,9.173408753,5.587565688,3.860635577,3.132129419,4.788283019,3.186826517,3.787399043,3.142675797,6.02946636,4.927068646,3.462671134,6.776938583,3.563166241,5.395923042,3.160746081,5.725639499,6.310600579,3.597902628,9.617478787,10.51961334,5.124513877,5.089703592,7.558774992,3.890853541,4.848170751,5.517472362,3.213047691,5.715328608,5.143584847,7.034942496,5.886690514,3.957952665,5.944884766,3.128872402,4.656993672,3.497731746,3.248713278,6.076743684,8.228503125,7.923216483,3.094759569,5.915939539,4.411540727,3.729145022,4.496355464,4.602032663,4.607643553,5.599991931,3.417672403,3.999614363,3.330048371,4.952516694,8.336539793,3.642524402,7.040039666,5.269588859,4.870304416,6.339367657,5.385861874,8.143340704,6.281100444,3.846886197,4.736211356,3.66470714,3.494807132,3.8087262,4.420068411,2.884887454,7.104353042,4.418689439,4.912900389,7.840835346,3.918121947,5.631015372,8.821495195,3.701100192,3.357147512,5.842376242,10.88064317,8.128538445,6.888091234,7.045214066,5.669916613,7.91583216,3.375158646,7.515915389,6.109072942,3.889058931,4.002042052,7.199771179,7.858352904,5.694817592,10.83719366,4.376808069,3.987625817,4.758528325,7.408384426,6.110545437,5.387379994,6.466334659,4.870273275,2.851841668,6.117001131,7.175828955,6.421643812,5.780008035,7.26299935,5.985671809,9.748027686,4.564779697,2.977741266,4.228542171,7.16250827,9.184994258,7.36971009,6.038823063,3.877684516,4.611571379,3.36081829,6.186177426,4.160153024,4.389904373,3.335270807,4.549320997,5.778008228,5.548750663,6.386352215,5.097743304,4.544616178,7.384496307,3.304523035,7.198290806,3.461317567,7.879759536,4.935742914,4.392635146,5.300569714,4.31485537,6.677896064,5.173825946,4.406535515,6.062517061,4.675385423,7.793207081,6.255933337,3.87844154,5.508380185,3.802261841,7.151638134,4.495348804,10.33903431,3.495287435,3.601726364,2.945900025,8.409245249,4.894455508,3.235745329,4.160311699
1918,4.247967051,3.274017925,5.718951404,5.65283666,4.715356157,6.118285261,4.581631712,7.790416712,5.76763337,5.976276725,4.50381749,3.525636937,5.071141859,7.13555023,6.477463937,8.363149812,7.284866451,7.440881837,3.053256905,6.53632335,3.389145789,8.065211494,8.370800464,3.442873151,4.115206094,3.906365288,4.47461388,5.326914806,5.765494522,3.304855818,4.963499736,8.729443585,7.910807761,6.488119502,6.020813989,5.508176444,3.222411241,3.304720068,3.025324956,6.414821989,3.777059022,3.493966582,9.482473419,5.299322625,3.728427098,3.000433503,6.313050333,4.815793705,3.448221438,3.479856354,6.361158023,4.904769936,3.362642826,7.70474492,3.632356379,4.938140114,2.821244289,4.112745241,6.756755832,3.713748445,9.298920063,10.05996443,4.570524788,6.522495449,7.063551432,3.686804414,4.71810764,4.919561233,3.044362766,7.979149533,4.762812365,7.342600054,6.215115103,3.957140133,5.056667976,3.079597249,4.761849047,3.527547759,3.310390339,4.961979959,4.695044841,7.083265707,3.519936977,5.605950011,3.419357421,2.843218451,5.294212385,5.328522363,4.028430858,5.866179046,4.370439315,3.951309708,3.379207006,4.717892884,8.93600578,5.096692477,3.629987433,5.76472523,5.006897874,7.065375373,6.291602829,7.289589198,6.196578865,4.461964106,3.73727458,4.295360755,3.267799105,3.667264141,4.134466274,2.862292189,9.051088265,4.989564623,3.839756142,8.131244997,5.919219507,6.655569591,8.352549031,2.992000707,3.506112388,5.686582916,10.98935456,8.989189789,7.130940959,7.955207258,5.984357349,8.912835443,3.338723735,7.018600914,3.955937809,4.121825161,3.811773998,7.281078647,8.057668212,5.691364204,10.53840375,5.280860946,3.486409349,4.359702114,7.270484116,8.358605731,7.023762981,5.959686101,5.659195011,2.81348099,6.306833113,6.698878012,6.485106388,6.026306285,7.872717616,5.585488672,9.319771886,4.691596043,7.929752787,3.902305,8.715461528,8.654060387,7.536610775,5.848716436,3.617865032,4.653055743,3.42927328,6.08214173,4.2899751,4.30031988,3.224244174,4.140390598,5.326564855,6.213763555,5.765640704,5.528079545,5.107872031,7.661829517,3.322846878,7.238944195,3.936820327,8.200761391,4.65212668,4.652085311,5.270407833,4.189465659,6.215296883,5.132843751,3.917180112,7.175489704,5.014482303,7.487290259,5.503989953,3.637746887,4.224089432,3.968461932,6.113444274,5.39058883,9.403987974,2.932340295,3.783547324,3.082188682,7.660120079,3.788057345,3.145218824,3.935807556
