"response","CLDN11","THAP10","MMP1","TP53","PRDM2","SYNGR3","ARF1","EXOC7","CPSF1","HIST1H2BC","KCNMB2","SERPINE2","TPBG","FLG","C6orf123","SOSTDC1","SMARCC1","PCDHA9","UBE1L2","DVL3","TBL2","FBLN5","BRE","YIPF3","CEPT1","MED17","SECISBP2","TARBP2","LRRC15","TSPAN9","NELL2","SHROOM2","CIR","LCN2","ORM1","HOXC10","CCDC41","PSCD1","FANCC","HDAC3","SCML1","HRK","DNPEP","EVI5","USP18","RPUSD2","IL12RB1","VPS28","NDUFA7","PLCG1","RWDD2A","NT5M","KIDINS220","CHAD","SNX17","GMEB2","CEL","ZGPAT","SEPW1","PLEKHF2","FSCN3","SLC25A11","MYH6","APITD1","RPS13","MREG","MED23","ARSF","MOSC1","GSTA3","ATF7IP","DNAJA2","MCM5","ZNF35","RALB","MAGEB2","SMC5","MLPH","LUM","FLJ20309","GALNT14","DCLRE1C","PTMS","RPS21","DNAJA3","WHSC1","SNAPC2","CXCL14","C9orf167","PKMYT1","CHPF","HIRIP3","MT1E","RPLP2","NUP85","PTPLB","MRPL24","SOCS6","ABCA2","ALDH3A1","MRPL44","OXCT1","C20orf43","GABPB2","SETD3","MRPL40","KIR2DL4","PYY","ALKBH4","ING3","TRIM36","FAM120C","PITX1","AIFM1","NRBP1","C13orf18","POLR3B","SPINK1","PPFIBP2","PLCD1","CYP2W1","MAGED1","SLC7A8","AGGF1","SLC16A4","IL2RG","CST3","ADRB3","EXOSC9","PHF16","MAT1A","ASH2L","RBM16","NCK2","KIR3DX1","TBC1D12","C2","PIGC","ASPN","MAGEC1","KIAA1012","KATNB1","OGFOD1","CCNG1","GK","AFAP1","RANBP10","HELZ","FASTK","ENOSF1","TNIP1","DNAJC10","SCLY","SFRP1","FLJ20160","PDGFC","C1orf69","TK1","HABP2","CFP","BUB1","VDR","FNDC4","HIST1H2BL","SLC1A6","ZNF250","NXT2","PEX13","LAPTM4B","DKFZP566E164","CCND1","WDR46","DLGAP2","TRIM27","PLXNB1","AKAP4","PHF10","ABCD3","GJA3","EGR1","IQCC","H6PD","AKR1D1","ANP32E","YEATS2","tcag7.1314","RRP12","TRIM15","CRYBA2","HDAC4","SLC35C2","MLF1","SIGLEC9","SLC46A3","VTCN1","DR1","BAT2","MAN2A2","CADM3","CACNA2D2"
1224,3.665976018,5.154713212,3.109946197,3.523658502,4.715918119,4.124216307,9.072023318,6.473724822,5.942892538,5.264538957,3.829077369,6.691931223,7.595795161,3.322496076,3.955288153,5.843602523,7.090121952,3.282743017,3.782738518,6.822193764,7.934663255,6.301894551,5.963999096,6.02529589,6.607328733,6.138373681,6.08231247,6.597023877,6.371540438,4.760538446,4.94845876,5.908888338,4.912882577,8.678566507,3.101355226,3.347097538,5.139104138,4.578166044,4.952990552,5.843616803,5.361704747,3.893559655,7.597941717,5.001996025,5.997554657,4.549529233,3.625979782,7.764907116,7.190216532,5.35059582,4.421665639,4.025472984,7.192557407,3.341234711,6.918790463,6.886785295,4.83381063,5.6775061,9.154554383,6.621107488,3.830669066,5.215310956,3.076394012,6.497091903,11.07026068,6.560198471,7.379251303,3.200704377,6.00779671,3.967788875,6.953718408,5.673616616,5.767597508,4.122740806,5.652350905,3.070254454,7.280581199,8.602618792,8.792849658,4.504088909,6.127759646,7.432553624,4.630061556,9.507556702,6.724164713,6.122576996,4.345646177,4.135966775,4.116874098,3.749519108,5.661362005,5.009327701,6.305933983,8.117093108,7.755754849,7.591271228,8.008346207,4.555127737,3.776680911,3.836999862,4.694105976,6.659333096,6.983305997,5.009761656,7.037498695,7.136855191,3.11288393,3.359291387,4.238568303,6.469823753,3.719032692,3.722856925,3.431038063,6.647630903,5.431579472,3.608345864,6.051006259,3.407445031,5.053323866,6.357817756,3.177683983,9.782579662,4.908009196,4.876305505,3.995626566,3.560719175,8.520311984,3.76581236,7.364162448,5.706205634,3.536891505,7.31794885,7.381241526,8.415421872,3.082207689,4.316668232,5.257119624,6.949341124,7.046598815,3.183976205,8.321477155,4.755969441,5.259702324,8.01864217,3.617580683,5.173005321,4.548244085,6.479126485,6.540533189,5.899563077,6.229550096,6.239368067,4.124525394,6.406734926,4.144368223,9.195627075,3.942675304,5.741871304,3.552164363,3.603670259,4.259582515,4.882174714,4.734247567,2.840999725,4.024135114,6.185926326,5.799732302,4.42127796,10.25601241,4.002331404,3.965794323,4.817245032,3.054703506,6.638614223,5.581726058,3.432564201,6.754349083,7.921815065,3.318469992,7.73288732,4.099835924,4.086675634,3.167963525,7.231249458,6.943393804,5.737951509,3.652569843,3.525305614,3.142419814,5.98331026,4.579746365,6.832955378,3.276783674,4.445930985,9.207594235,6.515685884,5.643718047,5.389804748,3.506518607,6.339027785
1247,3.442438988,6.078114314,5.582418929,5.423081406,5.23994459,3.938205098,8.460055499,5.620619654,5.507100918,3.544404992,4.261713462,9.419904901,7.130354061,2.808864631,3.487649317,7.096744104,6.782755612,3.89260998,3.864639198,5.8148535,7.986185346,8.16223488,6.159228792,6.755519954,6.364253571,6.699262559,5.149359656,6.160485898,4.764550711,5.0352698,5.50556602,6.490616738,4.801532139,6.370494125,2.877520145,3.473620912,4.76911224,4.220640772,4.129244021,6.059208782,4.980391079,3.558853683,6.946567307,5.137404896,6.357570126,4.741078195,3.431965158,8.058402533,6.530386452,5.344263937,4.849138381,4.025120464,7.176387601,3.582629218,7.10412505,6.398065834,2.979792895,5.33669083,10.00900335,6.550785294,3.67921344,6.237854436,3.033455434,7.147767002,12.34137073,4.928624634,6.277423202,3.559422605,4.940416661,3.687991564,7.980839141,6.766226497,5.352851259,4.428048304,6.458257156,3.189331125,6.674517615,6.914980682,9.834012377,3.981762802,5.032372848,6.599305293,4.540259199,10.01306654,6.778658597,5.519905312,4.046428292,5.90806941,4.261090754,3.827351233,5.134890024,4.798771385,8.286194074,8.648606529,6.708583905,7.693372311,8.696409913,4.254465974,3.430807281,4.323011591,4.611756978,6.057587736,7.498428038,4.916201574,6.779020756,7.036251434,3.052332057,3.048816606,3.512752276,5.853780978,3.689409076,3.706165049,3.980006094,7.274780229,5.813738044,3.845329629,6.915411681,3.061780877,4.956011394,5.4109607,3.444903288,10.48423656,4.701497685,5.148224575,4.801145979,3.590903945,9.246506925,3.82428958,5.080292516,6.271107772,3.353636297,8.47159249,7.598341065,8.054157474,2.933120885,5.075105826,7.279375796,7.338398402,6.100552466,3.655710316,7.531782175,4.904995524,5.69493223,10.18748226,3.485777359,4.551183238,4.201590162,5.781129151,6.458978639,4.984946519,6.962640376,6.140609343,3.856966961,7.113888705,3.536029937,9.462155627,3.757510463,5.457846381,3.448396517,3.608843165,4.336083724,4.464021063,5.09592236,2.848989822,3.894728133,5.650464209,5.637449625,5.211408589,11.1619413,3.548427076,5.353217106,5.451252371,3.198975523,6.721148641,5.091753512,3.271228623,7.110688638,7.58478122,3.181919141,9.664480488,4.094865214,4.131094714,3.34367668,6.574948245,6.468470668,4.956732588,3.977908664,3.48149447,3.016636927,5.805767288,4.726620433,5.838603716,3.165594176,5.384188383,7.667994422,5.963786164,5.110403496,5.091804186,3.661840279,5.104854499
55,4.088834004,4.264959384,3.486328815,5.123092847,4.651141824,4.023777192,8.353216433,5.655539458,5.93112388,3.977595682,3.953180479,10.82679547,8.004839206,2.708309309,3.282525567,4.029720275,6.34660706,3.602478456,3.591952229,5.799520863,7.806251256,4.735094035,5.573803413,5.776344372,6.494836057,4.691332679,4.890817647,6.016686059,4.018763384,4.468564013,4.926202326,5.219685235,5.135922481,11.2150991,3.449600692,3.719261381,4.453309574,4.522772594,4.701117541,5.492710645,4.244483608,3.580297332,7.144979157,4.711273113,3.943511582,5.161566172,3.754976981,7.614812946,8.107789041,4.947283426,3.662798524,4.056527084,6.423334204,3.716785139,6.097338241,7.014109545,4.274825434,5.776752887,7.185782993,5.554297608,3.91005756,5.195033916,3.474481318,5.400976997,11.89601757,6.113576219,5.238759249,3.676113328,4.978374694,4.146261946,5.89810083,4.861603214,6.080698327,3.624503657,5.317051515,3.308960421,6.887723939,8.474922527,5.900345475,4.445702194,7.275081854,6.097629994,4.086224034,9.767002569,5.845930355,5.850649172,4.154887316,4.112006086,4.976999832,4.464568434,5.963150002,5.231308354,8.602058384,8.570645455,6.14055739,7.545588581,8.518566599,3.943194982,3.705872384,4.155869444,4.299842575,3.863821218,6.442367227,4.746491564,7.184832676,7.798515507,3.453492953,3.135713356,3.92603443,5.592171971,3.576964274,3.902137797,4.200103271,7.027392925,5.297162152,3.591327277,4.400561699,2.99388831,5.101011951,4.539981844,3.424128477,9.355073864,4.180708955,4.546005748,3.901573563,3.705962108,9.075447812,4.098243528,6.301148119,4.708595587,3.992907054,6.028238274,6.728183142,7.486288792,2.952785852,3.922714688,6.288626595,5.972707359,4.642962594,3.430791588,6.064374054,4.457129468,4.921097724,9.16928799,3.880469698,4.440230595,3.968434861,5.636991065,6.756350371,6.60797286,7.39025609,5.391246868,4.028596271,4.879030042,3.85950673,6.5007568,4.063202499,5.425185676,3.770799472,3.438338437,3.828567686,5.64139813,4.530159952,2.969407514,3.948058827,4.526914441,5.702034306,4.2407973,9.617588193,4.133426344,5.818995577,4.76733412,3.412260232,6.394470022,4.491020735,3.366405464,4.841654176,6.85967762,3.436285943,8.087869391,4.192267978,3.971276206,3.464352677,7.117247076,6.309141164,5.5408712,3.933136287,4.098645446,3.815354074,4.919372466,4.755047908,5.800160126,3.318712566,5.157647926,6.937480506,5.263699596,6.344506277,4.869000538,3.742784845,4.617938884
1495,3.284758878,6.720315348,2.820304221,5.041597829,4.881116482,3.817638909,8.44574197,6.472311055,7.084668596,4.061054374,3.777680225,5.839015072,4.158212885,2.903504391,3.439423072,4.116171172,5.547182729,3.880271542,4.228315955,7.034220654,7.964901791,4.991578155,6.143844048,6.197391143,6.682459834,5.808837928,4.754862431,6.7884988,3.417631073,4.088910815,3.663396208,6.049722442,5.165759919,10.89099794,3.092073019,3.504986119,4.56759859,4.601911307,3.96408232,6.027505138,5.257576027,3.53696725,6.380191788,4.380977017,5.650195309,4.404175391,3.513775176,9.552082726,7.630171011,4.673474823,3.753781803,4.027746746,6.905523075,3.521374953,7.251431411,6.776672478,4.009568101,5.793959851,8.932291719,6.555666656,4.18504524,5.683610195,3.159816994,7.559924457,11.94483643,4.685102402,6.920044675,3.614513054,4.46280541,4.048358153,7.245902708,5.301372131,6.357315874,3.653146079,6.188845971,3.088323873,6.090890488,5.698290717,2.941228811,4.143463092,7.40218261,6.862461899,4.237577601,9.074598983,6.455736205,6.057434208,4.02163694,2.942946841,4.513287735,3.930536764,4.761713435,6.426105914,5.016687419,8.503297917,7.121889646,8.043562693,8.920023861,3.529887796,3.593428282,4.120729257,4.133700545,5.960807641,6.751372536,5.377535569,7.30557153,7.421721105,3.194312904,3.285454995,4.312538724,5.713196861,2.93799739,3.533824111,4.723334828,7.448932964,5.510162202,3.492612127,6.410467526,3.214851208,6.361686544,5.013820842,3.645526179,9.186553315,4.781777515,4.669692075,4.100533378,4.397321325,8.686821828,3.691450256,5.368333671,5.543117748,4.044402291,7.198236992,7.90053813,7.963255504,3.185724174,4.629186059,6.940444262,6.440708506,3.533842167,3.46812446,7.86175843,4.499396663,4.909509874,7.870369047,3.777844738,4.632621081,4.206076549,5.903346338,7.07439417,7.187280782,6.932935957,4.374868748,3.616017274,3.782915649,3.50417646,7.879903933,3.792953093,5.835485015,3.606012498,3.489571767,3.630933968,5.189537296,4.230600119,2.956110948,3.869325088,6.235687343,5.309983362,4.591211067,10.39231795,3.767598316,4.284790642,5.074680802,3.302160572,6.524591092,5.404294561,3.558089593,7.104461186,7.234693929,3.42294723,8.45025288,4.080683691,4.445831872,3.385475775,6.96022276,7.049279734,6.59837787,4.027337912,3.840848404,3.183221925,4.159515378,4.589656404,6.266024434,3.305605623,5.816573748,9.138016597,6.172786399,5.560496922,6.328103757,3.6068745,3.97424731
61,3.471246409,5.662682064,10.18481573,4.780074938,4.983340794,6.183001972,8.485331595,5.97884319,5.572457028,4.869970393,3.542618162,6.908349463,8.593024379,9.526716286,3.220331974,6.316563971,6.199002042,3.409585162,3.945931808,6.134005568,8.248000649,5.81393479,6.310327788,6.63165878,6.439208595,6.486597775,5.332577757,6.419518935,8.777171823,5.016158778,5.895016614,5.393636598,4.945742711,10.03997543,3.193860999,3.82810907,6.174166198,4.661493902,3.909680528,6.719553745,5.229167053,4.334031267,6.733371844,5.4302047,3.889418644,4.786777924,3.379129914,8.077546595,6.807310501,5.677145395,4.545703459,3.702614479,6.223202183,3.723982406,7.001900017,6.591479774,4.072825918,6.165527474,9.225375445,6.117007157,3.755115571,5.861969838,3.207621936,6.67256713,12.15816634,6.117485846,5.950005481,3.349302289,4.755251906,4.318169717,6.600449697,6.340411788,4.669995739,4.31488482,6.702630013,3.204523236,6.890833786,7.715070484,10.4197523,4.42872666,5.24556083,6.403425446,4.117170015,10.13634361,6.804073696,4.616480978,4.316547261,7.59686355,4.10052231,3.645121647,5.630219458,4.473116242,6.608171672,8.533067801,6.654632096,7.07968025,8.3223573,3.817464039,3.930139684,4.326104936,4.302779331,7.298000879,7.919580872,4.684829291,7.085527082,7.936098546,3.184003455,3.142490708,3.941431128,6.544287534,3.693346892,3.532581367,3.664725041,7.10531949,5.312816497,4.379089581,6.25746568,3.24409725,5.287134904,4.699595963,3.446892217,9.276110913,4.290238124,5.730830812,3.45792514,4.143975265,9.002376905,3.841488623,5.37228176,5.21698011,3.518400193,6.769535015,7.195527206,7.416650139,3.049095399,4.803416258,5.70491754,6.265036671,9.366949271,3.221179237,8.062161947,4.936197596,5.535447086,9.767804588,3.65235747,5.268477466,4.252509234,5.962759328,6.358134849,6.987243365,7.198612449,5.969067643,3.840707151,3.936255298,3.841999135,9.341248694,3.871796316,5.273999719,3.396549256,3.295088291,3.489009172,4.756383459,4.494527614,2.732984176,3.974802558,5.490410105,5.013826975,3.936633267,10.05705007,3.674477099,7.395909971,5.185731735,3.052538865,6.77442625,5.773354045,3.429611572,6.793706293,7.949177236,3.645295613,7.708021079,3.95334862,4.004375476,3.181735836,5.826320961,6.217287407,6.818681638,4.022752495,3.90700653,3.24971734,4.774198599,5.440405125,6.494186992,3.308142768,6.045912104,3.013132152,6.270761694,4.719201209,5.241217863,3.355524642,4.315443556
1418,3.413648716,4.230644971,3.567913729,5.243352698,4.268763424,4.226831239,8.745795555,5.535591486,6.346838324,3.778364032,3.658921525,6.271429259,6.973589647,2.773781614,3.284210301,6.171289363,6.79364746,3.296346746,4.206845352,6.97453949,7.81633849,4.393965156,6.35383333,7.479842543,7.00338666,6.851515448,5.006478808,6.10359965,7.359386572,4.836318927,4.131209822,4.816097333,4.651361932,9.368717059,2.994934225,3.917113263,5.035948509,4.561729727,3.801653009,6.162058586,4.34874301,3.285876989,7.122951662,4.854135609,5.705212825,4.607519394,3.339388999,8.967716416,7.540610871,5.0116748,4.587830955,3.825176872,7.126067626,3.478274155,7.207791856,6.937303859,4.260340852,6.067411218,8.857521764,7.270239997,3.808718346,6.625541194,3.102319998,5.428343047,11.87921734,5.701465534,7.175106961,3.248956291,3.906157075,3.742388596,7.26561476,6.604748555,5.959265122,3.737674814,5.941226662,3.214756958,6.398446622,6.651792522,10.17058954,4.322642403,3.987558251,6.73227344,4.358030591,9.33913465,6.843364443,5.253959551,4.032755376,6.390408562,3.917767044,4.474711902,6.185932525,4.900325112,7.908371363,8.631678205,6.293423516,8.047222617,9.088619558,4.127339779,3.663429002,4.162536697,5.078029106,5.434316438,7.648192325,5.312621812,7.253672807,6.982593269,3.181265564,3.30465379,4.108632607,6.182044819,3.524101193,3.339221386,3.905627553,6.178890631,5.815904398,3.967156851,6.481587099,8.111321482,5.732695763,4.660357972,3.718862065,9.695176668,4.56104876,4.894797322,4.273318686,4.822598934,9.139386318,3.723209507,6.677397059,5.208669135,4.475109366,6.624264908,8.104797564,8.185147048,3.043956613,5.090743855,7.204446369,6.82020721,5.409357656,3.242756751,7.366753486,4.633252907,5.996239259,8.75015136,3.759261708,5.396665399,4.171534472,6.247941851,7.716954755,5.597422115,7.004393308,4.668730717,3.74241882,4.596812265,3.573976721,9.395999635,3.711750878,6.027999447,3.212106857,3.546919416,3.994526515,5.062544893,4.391028779,2.789453547,3.768217244,5.887073416,4.756470199,5.162406081,11.18440609,3.829503742,7.049249484,5.223856037,3.162055666,6.002616578,4.805381079,3.324285769,6.316609405,6.884675932,3.430286131,9.4164231,3.8314817,3.789975544,3.084271849,7.751301938,6.313258248,5.006360667,4.177989274,3.510660236,3.140030736,4.618812607,4.878379702,6.509116917,3.335507302,5.789662488,7.934523877,6.133269546,5.745569393,4.634168271,3.698631762,5.297165512
563,3.476634849,4.852043577,3.328085125,3.634743152,4.70743444,4.439492951,9.025617617,6.275567846,5.889596797,3.76322554,3.605808868,6.382517961,7.776744656,3.021958976,3.869152229,4.504106856,6.69689411,3.54088243,4.08967838,6.56536035,8.183295084,4.470609974,6.553216905,5.983776983,5.376005725,5.732406775,5.150108441,6.818003609,5.497729797,4.402562183,3.77924424,5.167058836,5.319498619,9.471143065,3.081030373,3.763680229,5.187263713,4.411866397,4.15703817,6.258994817,4.829643677,3.523820595,7.25464935,4.670187482,5.679189059,4.91942357,3.28790327,8.055364033,7.783069071,5.573832877,4.863319789,4.530219974,6.965402515,3.416732854,7.066422808,6.883195433,4.400822512,6.351872426,8.241917998,5.953359544,3.862066825,5.981847272,3.11197776,6.800950343,11.77219303,5.060349771,6.700865326,3.202241475,5.358629204,3.950237101,6.957383897,5.294152074,5.112888224,4.081851703,5.899486372,3.429599186,7.152475796,6.978244014,9.044719453,4.429904464,4.931056141,6.823327877,3.892649628,9.236526952,7.152130544,5.793420639,3.980204266,5.045332402,4.691981153,4.024276161,5.199529772,5.208931188,8.900964071,8.289660111,8.146301106,7.616331101,9.452161291,3.671310194,3.706130999,4.215376136,4.082822132,6.124182381,6.788112123,4.754016268,6.88991387,6.864090434,3.204011214,3.17311866,4.169381434,6.081896064,3.692828095,3.667085006,3.501281784,7.404568731,5.750164857,3.477687253,6.570051054,3.11233546,5.606359349,5.593113765,3.652808985,9.23860387,4.389305338,4.691884486,4.01469648,3.915184798,9.10011209,3.734868875,5.893472538,5.296472643,3.480223185,7.386467209,8.433224771,8.560111105,3.214881437,4.030001097,6.121328146,6.782864271,5.905663448,3.382025127,7.651990859,4.066766859,5.047897558,9.470711619,3.552171049,4.448790334,4.07115692,6.215620978,6.799694068,6.444559465,6.955995968,7.587299914,3.803035432,3.967566212,4.096515388,8.596227754,3.991408356,6.676663346,3.479211,3.572139294,4.611623605,4.736672162,4.388155013,2.856883779,3.801837205,5.13056475,4.727461207,4.653710388,10.06372834,3.903812724,3.964007031,5.373598401,3.004569044,6.525944415,5.749863598,3.722154838,6.906302524,7.463433322,3.378369744,9.08500589,4.109718928,4.164300845,3.438723843,7.83907343,6.830133246,6.023097301,4.050797571,3.589111515,3.182141836,4.312369624,5.029927991,5.710427158,3.43959491,5.414341232,8.506403957,5.593471709,5.666957519,4.790946014,3.522403255,4.005873104
361,3.568945573,4.986218944,3.259000422,3.767062903,4.828331471,5.722504986,7.842770894,5.235942928,5.676420486,3.374288911,5.354783668,5.51731328,5.696750767,3.026127436,3.227098977,3.765946677,6.0054976,3.700362139,3.442689556,6.682837426,7.880294619,7.704307578,6.021434466,5.520161968,6.036625893,6.080432083,4.71986777,5.81191821,5.356427521,4.688856535,3.725584481,5.628305691,4.599809351,5.584881781,2.940516311,3.627447608,4.704038606,4.265256057,3.97846233,6.621235514,4.214522789,4.308230277,7.068642335,5.128537658,5.839249738,4.038171332,4.016338017,8.258054145,6.261755349,5.487933359,3.869806553,4.230347837,5.446641369,3.442461896,6.156637848,6.573803182,3.309371572,6.568699306,8.362753707,5.530054074,3.742201278,6.89421309,3.313779703,6.783686294,11.94315402,4.920871642,5.337889173,3.356119861,5.199300309,3.715236322,6.321245231,4.741728865,4.990812733,4.087792201,6.076642249,3.099410258,6.152182237,6.05861128,9.188839785,4.59267693,4.528557961,7.182446034,4.423512456,10.16763987,6.656261292,5.152175736,3.920156376,5.303769602,3.643087154,3.317242014,5.102882378,3.928329241,7.961990553,8.48412197,5.875078402,6.357391053,8.39874878,3.568844706,3.665033874,4.358080104,4.703252938,5.619998272,7.586185467,4.450032957,6.559055528,6.984745086,3.255020643,3.628362322,4.454182426,5.323863184,3.138453837,3.856237247,4.045755329,7.116832386,5.414863141,3.633845887,5.999161513,3.266929337,4.827956779,4.800746684,3.869562781,9.232741345,4.061118501,5.053718113,3.37862018,4.140256246,8.572094178,3.682355561,5.498196465,5.936838116,3.848154224,6.909532672,7.109014101,8.132848613,3.33110993,3.950648087,6.904639307,6.270378032,5.039679143,3.67155316,7.494835935,4.20532285,4.387623875,10.03565106,3.642345033,4.25772132,3.512210709,4.833134269,5.851488855,5.340539875,6.935235744,5.495382476,3.871768685,4.887277427,3.69936064,8.279978906,3.717103114,4.709190064,3.59688652,3.875641751,3.847640534,4.399194464,4.259819394,3.238663342,3.500889887,5.121375104,4.207066318,4.38769736,10.03887764,3.729418898,4.517518738,5.178496632,3.243519479,6.02824367,5.359177156,3.498710575,5.821270082,7.453419981,3.382971192,8.811621932,4.195025653,3.920011499,3.13290006,5.387466113,6.728995406,5.317196738,3.967345977,3.61556532,3.238801953,5.282068362,4.737693069,7.032379743,3.591097474,4.778255535,5.54438294,5.483534859,5.080490963,5.520671788,3.753733968,4.22687033
1992,3.889670038,5.568157927,2.971615645,5.799203941,4.690988305,4.681535795,9.064489019,5.242422268,5.579925173,4.258310544,3.645102512,6.883449219,7.381811712,3.495287435,3.371224948,4.484069467,6.467443734,3.145850384,4.220555165,6.329321844,7.664769521,5.023995745,6.612751648,7.089938238,6.894337635,5.854502708,4.912896644,7.165488065,3.150155247,4.673551166,4.952149797,4.670192021,4.899618114,10.40345756,3.701100192,3.860635577,4.512796995,4.543173575,3.866787565,5.837802493,3.472252542,3.621170217,6.74336643,4.778796635,5.487301055,4.898071022,3.600677902,8.202917148,6.544209106,4.647275278,4.557470129,3.656549139,6.483768182,3.518808369,6.734437885,6.647863621,3.787399043,6.021792631,7.7171277,6.047211132,3.772208541,6.357145766,3.335712824,6.374295943,12.0993088,6.694610605,7.150167025,3.274194424,5.437965877,3.805860553,7.85199708,5.903899861,5.477277897,3.818966624,6.065555997,3.193505809,5.387989949,5.751575419,5.61083764,4.541837388,5.640854242,7.324929988,4.380144085,9.575181096,7.036292524,5.432160703,3.874517178,3.669220723,4.285492952,4.216563373,5.117742962,4.692793836,6.666674016,8.412198714,6.286003803,7.626708647,8.850168902,4.113638531,3.60590933,4.05594154,4.205460973,5.074139992,7.35040293,5.002107311,6.651153323,6.387942371,3.355176454,3.375158646,3.841975245,6.227481394,3.160746081,3.230811468,3.678964348,7.663856006,5.182311449,3.696693575,6.595895185,3.304523035,4.98643649,4.590570147,3.412990228,8.502989214,4.324587521,5.109027815,4.586072279,7.235598097,9.754563578,3.838342206,5.71910102,5.260389527,4.153417662,6.613970059,8.641635823,7.881680838,3.138010189,4.18282335,8.990989265,7.492288537,3.331354899,3.940132726,7.890747247,4.265377114,5.30178559,10.0311846,3.506751148,4.286850591,3.742217214,6.001483276,6.647811921,6.433057651,7.676534012,6.161774504,3.792080715,3.318986534,3.48213942,8.421774771,3.95706829,6.043514634,3.597902628,3.603938126,3.92581926,5.140959235,4.389904373,2.915874092,3.691866386,5.278725792,5.332095569,4.568182054,10.62439489,3.963793571,4.979509105,5.747092868,3.123899263,6.722324137,4.652643471,3.736307163,6.875237707,7.711956681,3.256260095,5.520999383,3.701245853,4.16530036,3.152088755,8.008967453,5.992682617,5.389703541,4.137904063,3.72514769,3.35670718,4.551803412,5.162802194,6.650868122,3.737019527,5.738542467,9.374301516,6.139995775,5.982675079,4.666768704,4.411540727,5.222384559
1918,3.420864355,5.961175611,3.208537123,5.594878687,4.980901794,5.440049452,8.445355403,6.156663151,5.269428775,3.624689719,5.917959298,9.089185039,6.080882409,2.932340295,3.235225131,5.152810137,6.670520108,3.846213836,4.09034086,6.80919416,8.261570291,6.117225354,6.567200158,7.679130844,6.924056771,6.193727324,5.553880373,6.866473197,4.865872095,4.712684945,4.296881628,4.382198265,4.732297147,4.054380582,2.992000707,3.728427098,5.433205029,4.356561179,3.975194621,6.765573128,3.268204018,3.62065198,6.764698203,4.920739101,7.109257585,4.691776633,3.631730375,7.195849916,7.16469337,6.061280044,5.222879345,3.962626256,7.706431727,3.658197315,7.606338789,6.693790439,3.448221438,6.13617289,8.34703426,4.222742143,3.868676762,6.13470033,3.199041894,7.266630149,12.05261299,7.059387869,5.923011414,3.712530989,7.246188681,3.942031195,7.358175907,6.462584147,5.40326147,4.361463673,6.329632808,3.153073873,5.770839085,4.302027637,8.318961166,4.303042819,5.67968433,7.007613155,4.362455821,11.4677084,6.960699043,5.509297084,4.050727504,5.887463839,4.109330287,3.686478834,5.473871819,4.831846299,4.828825746,8.572290015,6.860710398,7.319481391,9.519380102,3.85192476,3.755203304,4.133111946,4.533143272,6.099054799,8.492188034,4.831998277,7.385705104,8.041921956,3.141518449,3.338723735,4.120775443,5.717371126,2.821244289,3.83522506,3.476077077,6.486063489,5.243147102,3.665029101,6.745164468,3.322846878,4.932155356,5.588494138,3.248393493,8.956212446,4.185752601,5.349459421,3.142454872,3.748575941,10.05934496,3.560391964,5.350301754,6.889884542,3.741862666,7.21467115,7.674120917,8.243790964,3.361812087,4.103870776,4.537751255,8.281184938,5.108467826,3.453045517,6.730349892,4.452513614,5.11240578,9.72303083,3.649775313,4.458501737,4.022747247,5.92761251,6.529999643,6.180529593,7.061978756,6.253879216,4.10114135,3.745056934,3.985441205,9.315453369,4.230117066,4.979746851,3.713748445,3.506798838,3.731685915,4.21734939,4.30031988,2.881737869,3.701921606,4.611098325,5.304929883,4.570332997,9.147563934,3.575646225,6.630099227,6.635895105,3.188642115,7.249842165,4.738522779,3.469863242,6.424027727,7.940001136,3.349125833,6.023518336,3.914129156,3.870023936,3.261582486,7.225440466,7.124690244,5.666810304,4.360172217,3.750353496,3.257640763,4.856287313,6.380180292,7.42299713,3.42146032,3.593142723,2.988895622,6.73385486,5.566006409,5.228428847,3.419357421,5.362655132
